id,topic,description,risk_symptom,recommended_precaution,severity_level,tags,reference_type
59,Managing pain after delivery,Managing pain after delivery is essential for maintaining reproductive and maternal health.,unusual discharge,take sufficient rest,high,"menstrual_health, maternal_safety, hygiene",educational
60,Preventing anemia in menstruating women,Preventing anemia in menstruating women is essential for maintaining reproductive and maternal health.,fatigue,consult a healthcare professional,moderate,"menstrual_health, maternal_safety, hygiene",educational
61,Managing pain after delivery,Managing pain after delivery is essential for maintaining reproductive and maternal health.,severe abdominal pain,take sufficient rest,high,"menstrual_health, maternal_safety, hygiene",medical_guideline
62,Preventing anemia in menstruating women,Preventing anemia in menstruating women is essential for maintaining reproductive and maternal health.,severe abdominal pain,consult a healthcare professional,high,"menstrual_health, maternal_safety, hygiene",healthcare_advice
63,Postpartum bleeding precautions,Postpartum bleeding precautions is essential for maintaining reproductive and maternal health.,severe abdominal pain,avoid strenuous activity,moderate,"menstrual_health, maternal_safety, hygiene",healthcare_advice
64,Postpartum bleeding precautions,Postpartum bleeding precautions is essential for maintaining reproductive and maternal health.,persistent headaches,take sufficient rest,low,"menstrual_health, maternal_safety, hygiene",educational
65,Menstrual hygiene safety,Menstrual hygiene safety is essential for maintaining reproductive and maternal health.,fever,take sufficient rest,moderate,"menstrual_health, maternal_safety, hygiene",educational
66,Menstrual hygiene safety,Menstrual hygiene safety is essential for maintaining reproductive and maternal health.,unusual discharge,ensure adequate hydration,low,"menstrual_health, maternal_safety, hygiene",medical_guideline
67,Preventing anemia in menstruating women,Preventing anemia in menstruating women is essential for maintaining reproductive and maternal health.,severe abdominal pain,consult a healthcare professional,moderate,"menstrual_health, maternal_safety, hygiene",healthcare_advice
68,Preventing anemia in menstruating women,Preventing anemia in menstruating women is essential for maintaining reproductive and maternal health.,fatigue,monitor symptoms regularly,low,"menstrual_health, maternal_safety, hygiene",medical_guideline
69,Menstrual hygiene safety,Menstrual hygiene safety is essential for maintaining reproductive and maternal health.,fatigue,avoid strenuous activity,low,"menstrual_health, maternal_safety, hygiene",medical_guideline
70,Preventing infections during menstruation,Preventing infections during menstruation is essential for maintaining reproductive and maternal health.,dizziness,take sufficient rest,moderate,"menstrual_health, maternal_safety, hygiene",medical_guideline
71,Postpartum bleeding precautions,Postpartum bleeding precautions is essential for maintaining reproductive and maternal health.,unusual discharge,monitor symptoms regularly,high,"menstrual_health, maternal_safety, hygiene",educational
72,Managing pain after delivery,Managing pain after delivery is essential for maintaining reproductive and maternal health.,persistent headaches,consult a healthcare professional,moderate,"menstrual_health, maternal_safety, hygiene",healthcare_advice
73,Sleep safety for postpartum mothers,Sleep safety for postpartum mothers is essential for maintaining reproductive and maternal health.,heavy bleeding,take sufficient rest,low,"menstrual_health, maternal_safety, hygiene",educational
74,Hydration and nutrition after childbirth,Hydration and nutrition after childbirth is essential for maintaining reproductive and maternal health.,unusual discharge,consult a healthcare professional,low,"menstrual_health, maternal_safety, hygiene",healthcare_advice
75,Menstrual hygiene safety,Menstrual hygiene safety is essential for maintaining reproductive and maternal health.,persistent headaches,consult a healthcare professional,high,"menstrual_health, maternal_safety, hygiene",medical_guideline
76,Postpartum bleeding precautions,Postpartum bleeding precautions is essential for maintaining reproductive and maternal health.,severe abdominal pain,ensure adequate hydration,low,"menstrual_health, maternal_safety, hygiene",educational
77,Safe recovery after childbirth,Safe recovery after childbirth is essential for maintaining reproductive and maternal health.,unusual discharge,avoid strenuous activity,high,"menstrual_health, maternal_safety, hygiene",healthcare_advice
78,Sleep safety for postpartum mothers,Sleep safety for postpartum mothers is essential for maintaining reproductive and maternal health.,severe abdominal pain,take sufficient rest,low,"menstrual_health, maternal_safety, hygiene",educational
79,Hydration and nutrition after childbirth,Hydration and nutrition after childbirth is essential for maintaining reproductive and maternal health.,persistent headaches,monitor symptoms regularly,low,"menstrual_health, maternal_safety, hygiene",medical_guideline
80,Menstrual hygiene safety,Menstrual hygiene safety is essential for maintaining reproductive and maternal health.,fatigue,take sufficient rest,low,"menstrual_health, maternal_safety, hygiene",medical_guideline
81,Managing pain after delivery,Managing pain after delivery is essential for maintaining reproductive and maternal health.,fatigue,monitor symptoms regularly,low,"menstrual_health, maternal_safety, hygiene",medical_guideline
82,Sleep safety for postpartum mothers,Sleep safety for postpartum mothers is essential for maintaining reproductive and maternal health.,unusual discharge,monitor symptoms regularly,low,"menstrual_health, maternal_safety, hygiene",educational
83,Postpartum bleeding precautions,Postpartum bleeding precautions is essential for maintaining reproductive and maternal health.,unusual discharge,take sufficient rest,low,"menstrual_health, maternal_safety, hygiene",healthcare_advice
84,Menstrual hygiene safety,Menstrual hygiene safety is essential for maintaining reproductive and maternal health.,severe abdominal pain,ensure adequate hydration,high,"menstrual_health, maternal_safety, hygiene",medical_guideline
85,Hydration and nutrition after childbirth,Hydration and nutrition after childbirth is essential for maintaining reproductive and maternal health.,fever,maintain proper hygiene,moderate,"menstrual_health, maternal_safety, hygiene",healthcare_advice
86,Safe sanitation practices for women,Safe sanitation practices for women is essential for maintaining reproductive and maternal health.,severe abdominal pain,maintain proper hygiene,low,"menstrual_health, maternal_safety, hygiene",healthcare_advice
87,Preventing anemia in menstruating women,Preventing anemia in menstruating women is essential for maintaining reproductive and maternal health.,unusual discharge,ensure adequate hydration,low,"menstrual_health, maternal_safety, hygiene",healthcare_advice
88,Recognizing postpartum warning signs,Recognizing postpartum warning signs is essential for maintaining reproductive and maternal health.,heavy bleeding,take sufficient rest,low,"menstrual_health, maternal_safety, hygiene",healthcare_advice
89,Safe recovery after childbirth,Safe recovery after childbirth is essential for maintaining reproductive and maternal health.,fatigue,avoid strenuous activity,moderate,"menstrual_health, maternal_safety, hygiene",medical_guideline
90,Safe sanitation practices for women,Safe sanitation practices for women is essential for maintaining reproductive and maternal health.,fever,monitor symptoms regularly,moderate,"menstrual_health, maternal_safety, hygiene",healthcare_advice
91,Menstrual hygiene safety,Menstrual hygiene safety is essential for maintaining reproductive and maternal health.,severe abdominal pain,consult a healthcare professional,high,"menstrual_health, maternal_safety, hygiene",healthcare_advice
92,Preventing infections during menstruation,Preventing infections during menstruation is essential for maintaining reproductive and maternal health.,dizziness,take sufficient rest,moderate,"menstrual_health, maternal_safety, hygiene",educational
93,Menstrual hygiene safety,Menstrual hygiene safety is essential for maintaining reproductive and maternal health.,heavy bleeding,avoid strenuous activity,moderate,"menstrual_health, maternal_safety, hygiene",educational
94,Managing pain after delivery,Managing pain after delivery is essential for maintaining reproductive and maternal health.,severe abdominal pain,take sufficient rest,low,"menstrual_health, maternal_safety, hygiene",medical_guideline
95,Postpartum bleeding precautions,Postpartum bleeding precautions is essential for maintaining reproductive and maternal health.,severe abdominal pain,avoid strenuous activity,low,"menstrual_health, maternal_safety, hygiene",healthcare_advice
96,Safe sanitation practices for women,Safe sanitation practices for women is essential for maintaining reproductive and maternal health.,fatigue,monitor symptoms regularly,moderate,"menstrual_health, maternal_safety, hygiene",healthcare_advice
97,Recognizing postpartum warning signs,Recognizing postpartum warning signs is essential for maintaining reproductive and maternal health.,heavy bleeding,take sufficient rest,moderate,"menstrual_health, maternal_safety, hygiene",healthcare_advice
98,Hydration and nutrition after childbirth,Hydration and nutrition after childbirth is essential for maintaining reproductive and maternal health.,persistent headaches,consult a healthcare professional,moderate,"menstrual_health, maternal_safety, hygiene",medical_guideline
99,Postpartum bleeding precautions,Postpartum bleeding precautions is essential for maintaining reproductive and maternal health.,unusual discharge,ensure adequate hydration,low,"menstrual_health, maternal_safety, hygiene",educational
100,Sleep safety for postpartum mothers,Sleep safety for postpartum mothers is essential for maintaining reproductive and maternal health.,fever,consult a healthcare professional,low,"menstrual_health, maternal_safety, hygiene",educational
101,Postpartum bleeding precautions,Postpartum bleeding precautions is essential for maintaining reproductive and maternal health.,severe abdominal pain,avoid strenuous activity,moderate,"menstrual_health, maternal_safety, hygiene",healthcare_advice
102,Postpartum bleeding precautions,Postpartum bleeding precautions is essential for maintaining reproductive and maternal health.,heavy bleeding,ensure adequate hydration,moderate,"menstrual_health, maternal_safety, hygiene",educational
103,Sleep safety for postpartum mothers,Sleep safety for postpartum mothers is essential for maintaining reproductive and maternal health.,dizziness,maintain proper hygiene,low,"menstrual_health, maternal_safety, hygiene",educational
104,Managing pain after delivery,Managing pain after delivery is essential for maintaining reproductive and maternal health.,heavy bleeding,maintain proper hygiene,low,"menstrual_health, maternal_safety, hygiene",educational
105,Safe sanitation practices for women,Safe sanitation practices for women is essential for maintaining reproductive and maternal health.,fatigue,monitor symptoms regularly,moderate,"menstrual_health, maternal_safety, hygiene",healthcare_advice
106,Sleep safety for postpartum mothers,Sleep safety for postpartum mothers is essential for maintaining reproductive and maternal health.,fever,monitor symptoms regularly,high,"menstrual_health, maternal_safety, hygiene",educational
107,Sleep safety for postpartum mothers,Sleep safety for postpartum mothers is essential for maintaining reproductive and maternal health.,severe abdominal pain,monitor symptoms regularly,moderate,"menstrual_health, maternal_safety, hygiene",medical_guideline
108,Preventing infections during menstruation,Preventing infections during menstruation is essential for maintaining reproductive and maternal health.,heavy bleeding,maintain proper hygiene,low,"menstrual_health, maternal_safety, hygiene",educational
109,Menstrual hygiene safety,Menstrual hygiene safety is essential for maintaining reproductive and maternal health.,heavy bleeding,maintain proper hygiene,high,"menstrual_health, maternal_safety, hygiene",educational
110,Postpartum bleeding precautions,Postpartum bleeding precautions is essential for maintaining reproductive and maternal health.,persistent headaches,ensure adequate hydration,moderate,"menstrual_health, maternal_safety, hygiene",medical_guideline
111,Managing pain after delivery,Managing pain after delivery is essential for maintaining reproductive and maternal health.,severe abdominal pain,take sufficient rest,moderate,"menstrual_health, maternal_safety, hygiene",healthcare_advice
112,Managing pain after delivery,Managing pain after delivery is essential for maintaining reproductive and maternal health.,fever,consult a healthcare professional,high,"menstrual_health, maternal_safety, hygiene",educational
113,Recognizing postpartum warning signs,Recognizing postpartum warning signs is essential for maintaining reproductive and maternal health.,severe abdominal pain,take sufficient rest,high,"menstrual_health, maternal_safety, hygiene",healthcare_advice
114,Safe recovery after childbirth,Safe recovery after childbirth is essential for maintaining reproductive and maternal health.,unusual discharge,take sufficient rest,moderate,"menstrual_health, maternal_safety, hygiene",medical_guideline
115,Managing pain after delivery,Managing pain after delivery is essential for maintaining reproductive and maternal health.,dizziness,consult a healthcare professional,low,"menstrual_health, maternal_safety, hygiene",medical_guideline
116,Postpartum bleeding precautions,Postpartum bleeding precautions is essential for maintaining reproductive and maternal health.,fatigue,avoid strenuous activity,moderate,"menstrual_health, maternal_safety, hygiene",medical_guideline
117,Sleep safety for postpartum mothers,Sleep safety for postpartum mothers is essential for maintaining reproductive and maternal health.,severe abdominal pain,consult a healthcare professional,moderate,"menstrual_health, maternal_safety, hygiene",educational
118,Safe sanitation practices for women,Safe sanitation practices for women is essential for maintaining reproductive and maternal health.,unusual discharge,maintain proper hygiene,high,"menstrual_health, maternal_safety, hygiene",healthcare_advice
119,Recognizing postpartum warning signs,Recognizing postpartum warning signs is essential for maintaining reproductive and maternal health.,fatigue,take sufficient rest,high,"menstrual_health, maternal_safety, hygiene",healthcare_advice
120,Hydration and nutrition after childbirth,Hydration and nutrition after childbirth is essential for maintaining reproductive and maternal health.,dizziness,take sufficient rest,moderate,"menstrual_health, maternal_safety, hygiene",medical_guideline
121,Preventing infections during menstruation,Preventing infections during menstruation is essential for maintaining reproductive and maternal health.,fever,monitor symptoms regularly,low,"menstrual_health, maternal_safety, hygiene",medical_guideline
122,Managing pain after delivery,Managing pain after delivery is essential for maintaining reproductive and maternal health.,heavy bleeding,maintain proper hygiene,low,"menstrual_health, maternal_safety, hygiene",healthcare_advice
123,Safe sanitation practices for women,Safe sanitation practices for women is essential for maintaining reproductive and maternal health.,severe abdominal pain,avoid strenuous activity,high,"menstrual_health, maternal_safety, hygiene",educational
124,Sleep safety for postpartum mothers,Sleep safety for postpartum mothers is essential for maintaining reproductive and maternal health.,fever,take sufficient rest,moderate,"menstrual_health, maternal_safety, hygiene",educational
125,Safe recovery after childbirth,Safe recovery after childbirth is essential for maintaining reproductive and maternal health.,dizziness,maintain proper hygiene,moderate,"menstrual_health, maternal_safety, hygiene",medical_guideline
126,Postpartum bleeding precautions,Postpartum bleeding precautions is essential for maintaining reproductive and maternal health.,dizziness,avoid strenuous activity,moderate,"menstrual_health, maternal_safety, hygiene",educational
127,Preventing infections during menstruation,Preventing infections during menstruation is essential for maintaining reproductive and maternal health.,persistent headaches,consult a healthcare professional,high,"menstrual_health, maternal_safety, hygiene",medical_guideline
128,Postpartum bleeding precautions,Postpartum bleeding precautions is essential for maintaining reproductive and maternal health.,fever,consult a healthcare professional,moderate,"menstrual_health, maternal_safety, hygiene",healthcare_advice
129,Preventing infections during menstruation,Preventing infections during menstruation is essential for maintaining reproductive and maternal health.,unusual discharge,monitor symptoms regularly,low,"menstrual_health, maternal_safety, hygiene",healthcare_advice
130,Managing pain after delivery,Managing pain after delivery is essential for maintaining reproductive and maternal health.,unusual discharge,take sufficient rest,moderate,"menstrual_health, maternal_safety, hygiene",educational
131,Recognizing postpartum warning signs,Recognizing postpartum warning signs is essential for maintaining reproductive and maternal health.,severe abdominal pain,ensure adequate hydration,moderate,"menstrual_health, maternal_safety, hygiene",educational
132,Postpartum bleeding precautions,Postpartum bleeding precautions is essential for maintaining reproductive and maternal health.,unusual discharge,consult a healthcare professional,high,"menstrual_health, maternal_safety, hygiene",healthcare_advice
133,Preventing infections during menstruation,Preventing infections during menstruation is essential for maintaining reproductive and maternal health.,fatigue,take sufficient rest,high,"menstrual_health, maternal_safety, hygiene",medical_guideline
134,Safe recovery after childbirth,Safe recovery after childbirth is essential for maintaining reproductive and maternal health.,persistent headaches,take sufficient rest,low,"menstrual_health, maternal_safety, hygiene",healthcare_advice
135,Postpartum bleeding precautions,Postpartum bleeding precautions is essential for maintaining reproductive and maternal health.,dizziness,consult a healthcare professional,low,"menstrual_health, maternal_safety, hygiene",healthcare_advice
136,Postpartum bleeding precautions,Postpartum bleeding precautions is essential for maintaining reproductive and maternal health.,heavy bleeding,avoid strenuous activity,moderate,"menstrual_health, maternal_safety, hygiene",educational
137,Hydration and nutrition after childbirth,Hydration and nutrition after childbirth is essential for maintaining reproductive and maternal health.,dizziness,ensure adequate hydration,low,"menstrual_health, maternal_safety, hygiene",healthcare_advice
138,Safe sanitation practices for women,Safe sanitation practices for women is essential for maintaining reproductive and maternal health.,fever,take sufficient rest,low,"menstrual_health, maternal_safety, hygiene",healthcare_advice
139,Recognizing postpartum warning signs,Recognizing postpartum warning signs is essential for maintaining reproductive and maternal health.,severe abdominal pain,take sufficient rest,moderate,"menstrual_health, maternal_safety, hygiene",healthcare_advice
140,Managing pain after delivery,Managing pain after delivery is essential for maintaining reproductive and maternal health.,severe abdominal pain,consult a healthcare professional,low,"menstrual_health, maternal_safety, hygiene",healthcare_advice
141,Postpartum bleeding precautions,Postpartum bleeding precautions is essential for maintaining reproductive and maternal health.,fatigue,consult a healthcare professional,moderate,"menstrual_health, maternal_safety, hygiene",educational
142,Preventing infections during menstruation,Preventing infections during menstruation is essential for maintaining reproductive and maternal health.,fever,consult a healthcare professional,low,"menstrual_health, maternal_safety, hygiene",educational
143,Preventing infections during menstruation,Preventing infections during menstruation is essential for maintaining reproductive and maternal health.,dizziness,take sufficient rest,moderate,"menstrual_health, maternal_safety, hygiene",educational
144,Recognizing postpartum warning signs,Recognizing postpartum warning signs is essential for maintaining reproductive and maternal health.,dizziness,monitor symptoms regularly,low,"menstrual_health, maternal_safety, hygiene",medical_guideline
145,Sleep safety for postpartum mothers,Sleep safety for postpartum mothers is essential for maintaining reproductive and maternal health.,severe abdominal pain,monitor symptoms regularly,high,"menstrual_health, maternal_safety, hygiene",medical_guideline
146,Postpartum bleeding precautions,Postpartum bleeding precautions is essential for maintaining reproductive and maternal health.,fatigue,avoid strenuous activity,high,"menstrual_health, maternal_safety, hygiene",educational
147,Menstrual hygiene safety,Menstrual hygiene safety is essential for maintaining reproductive and maternal health.,heavy bleeding,take sufficient rest,moderate,"menstrual_health, maternal_safety, hygiene",medical_guideline
148,Recognizing postpartum warning signs,Recognizing postpartum warning signs is essential for maintaining reproductive and maternal health.,fatigue,avoid strenuous activity,high,"menstrual_health, maternal_safety, hygiene",educational
149,Hydration and nutrition after childbirth,Hydration and nutrition after childbirth is essential for maintaining reproductive and maternal health.,severe abdominal pain,take sufficient rest,high,"menstrual_health, maternal_safety, hygiene",educational
150,Postpartum bleeding precautions,Postpartum bleeding precautions is essential for maintaining reproductive and maternal health.,fever,ensure adequate hydration,high,"menstrual_health, maternal_safety, hygiene",healthcare_advice
151,Recognizing postpartum warning signs,Recognizing postpartum warning signs is essential for maintaining reproductive and maternal health.,dizziness,ensure adequate hydration,low,"menstrual_health, maternal_safety, hygiene",educational
152,Safe recovery after childbirth,Safe recovery after childbirth is essential for maintaining reproductive and maternal health.,severe abdominal pain,consult a healthcare professional,high,"menstrual_health, maternal_safety, hygiene",medical_guideline
153,Sleep safety for postpartum mothers,Sleep safety for postpartum mothers is essential for maintaining reproductive and maternal health.,heavy bleeding,monitor symptoms regularly,low,"menstrual_health, maternal_safety, hygiene",healthcare_advice
