id,guide_title,overview,possible_symptom,recommended_action,risk_category,resource_type,content_format
40,Understanding postpartum depression,Understanding postpartum depression helps mothers understand emotional and psychological changes.,anxiety and panic,practice relaxation techniques,high_risk,pregnancy_guide,educational_guide
41,Seeking professional support,Seeking professional support helps mothers understand emotional and psychological changes.,extreme fatigue,talk to family or trusted individuals,low_risk,pregnancy_guide,educational_guide
42,Seeking professional support,Seeking professional support helps mothers understand emotional and psychological changes.,persistent sadness,consult healthcare providers,moderate_risk,pregnancy_guide,educational_guide
43,Adapting to motherhood,Adapting to motherhood helps mothers understand emotional and psychological changes.,loss of interest,seek professional counseling,low_risk,mental_health,educational_guide
44,Recognizing baby blues,Recognizing baby blues helps mothers understand emotional and psychological changes.,extreme fatigue,talk to family or trusted individuals,high_risk,mental_health,educational_guide
45,Building a support system,Building a support system helps mothers understand emotional and psychological changes.,sleep disturbances,join maternal support groups,low_risk,postpartum_support,educational_guide
46,Understanding postpartum depression,Understanding postpartum depression helps mothers understand emotional and psychological changes.,extreme fatigue,seek professional counseling,high_risk,pregnancy_guide,educational_guide
47,Recognizing baby blues,Recognizing baby blues helps mothers understand emotional and psychological changes.,loss of interest,seek professional counseling,high_risk,pregnancy_guide,educational_guide
48,Adapting to motherhood,Adapting to motherhood helps mothers understand emotional and psychological changes.,extreme fatigue,seek professional counseling,low_risk,pregnancy_guide,educational_guide
49,Recognizing baby blues,Recognizing baby blues helps mothers understand emotional and psychological changes.,anxiety and panic,practice relaxation techniques,low_risk,mental_health,educational_guide
50,Managing anxiety during pregnancy,Managing anxiety during pregnancy helps mothers understand emotional and psychological changes.,sleep disturbances,practice relaxation techniques,moderate_risk,postpartum_support,educational_guide
51,Mental health awareness for mothers,Mental health awareness for mothers helps mothers understand emotional and psychological changes.,extreme fatigue,talk to family or trusted individuals,moderate_risk,mental_health,educational_guide
52,First months of motherhood,First months of motherhood helps mothers understand emotional and psychological changes.,extreme fatigue,consult healthcare providers,high_risk,mental_health,educational_guide
53,Understanding postpartum depression,Understanding postpartum depression helps mothers understand emotional and psychological changes.,difficulty bonding with baby,consult healthcare providers,high_risk,pregnancy_guide,educational_guide
54,Building a support system,Building a support system helps mothers understand emotional and psychological changes.,sleep disturbances,consult healthcare providers,moderate_risk,mental_health,educational_guide
55,Seeking professional support,Seeking professional support helps mothers understand emotional and psychological changes.,persistent sadness,seek professional counseling,high_risk,postpartum_support,educational_guide
56,Recognizing baby blues,Recognizing baby blues helps mothers understand emotional and psychological changes.,sleep disturbances,talk to family or trusted individuals,low_risk,postpartum_support,educational_guide
57,Navigating emotional changes after childbirth,Navigating emotional changes after childbirth helps mothers understand emotional and psychological changes.,sleep disturbances,talk to family or trusted individuals,low_risk,mental_health,educational_guide
58,Postpartum emotional recovery,Postpartum emotional recovery helps mothers understand emotional and psychological changes.,anxiety and panic,practice relaxation techniques,high_risk,mental_health,educational_guide
59,Mental health awareness for mothers,Mental health awareness for mothers helps mothers understand emotional and psychological changes.,loss of interest,practice relaxation techniques,high_risk,mental_health,educational_guide
60,Managing anxiety during pregnancy,Managing anxiety during pregnancy helps mothers understand emotional and psychological changes.,extreme fatigue,join maternal support groups,high_risk,mental_health,educational_guide
61,First months of motherhood,First months of motherhood helps mothers understand emotional and psychological changes.,loss of interest,consult healthcare providers,low_risk,pregnancy_guide,educational_guide
62,Recognizing baby blues,Recognizing baby blues helps mothers understand emotional and psychological changes.,anxiety and panic,talk to family or trusted individuals,high_risk,mental_health,educational_guide
63,Navigating emotional changes after childbirth,Navigating emotional changes after childbirth helps mothers understand emotional and psychological changes.,extreme fatigue,talk to family or trusted individuals,moderate_risk,pregnancy_guide,educational_guide
64,Mental health awareness for mothers,Mental health awareness for mothers helps mothers understand emotional and psychological changes.,extreme fatigue,consult healthcare providers,moderate_risk,mental_health,educational_guide
65,Understanding postpartum depression,Understanding postpartum depression helps mothers understand emotional and psychological changes.,sleep disturbances,join maternal support groups,low_risk,mental_health,educational_guide
66,First months of motherhood,First months of motherhood helps mothers understand emotional and psychological changes.,anxiety and panic,consult healthcare providers,low_risk,pregnancy_guide,educational_guide
67,First months of motherhood,First months of motherhood helps mothers understand emotional and psychological changes.,sleep disturbances,practice relaxation techniques,moderate_risk,pregnancy_guide,educational_guide
68,Adapting to motherhood,Adapting to motherhood helps mothers understand emotional and psychological changes.,extreme fatigue,seek professional counseling,low_risk,postpartum_support,educational_guide
69,Adapting to motherhood,Adapting to motherhood helps mothers understand emotional and psychological changes.,extreme fatigue,seek professional counseling,high_risk,pregnancy_guide,educational_guide
70,Postpartum emotional recovery,Postpartum emotional recovery helps mothers understand emotional and psychological changes.,difficulty bonding with baby,talk to family or trusted individuals,moderate_risk,mental_health,educational_guide
71,Recognizing baby blues,Recognizing baby blues helps mothers understand emotional and psychological changes.,anxiety and panic,seek professional counseling,moderate_risk,pregnancy_guide,educational_guide
72,Managing anxiety during pregnancy,Managing anxiety during pregnancy helps mothers understand emotional and psychological changes.,extreme fatigue,seek professional counseling,low_risk,mental_health,educational_guide
73,First months of motherhood,First months of motherhood helps mothers understand emotional and psychological changes.,loss of interest,consult healthcare providers,moderate_risk,pregnancy_guide,educational_guide
74,Understanding postpartum depression,Understanding postpartum depression helps mothers understand emotional and psychological changes.,persistent sadness,practice relaxation techniques,high_risk,mental_health,educational_guide
75,First months of motherhood,First months of motherhood helps mothers understand emotional and psychological changes.,anxiety and panic,practice relaxation techniques,moderate_risk,pregnancy_guide,educational_guide
76,Mental health awareness for mothers,Mental health awareness for mothers helps mothers understand emotional and psychological changes.,difficulty bonding with baby,join maternal support groups,low_risk,pregnancy_guide,educational_guide
77,Understanding postpartum depression,Understanding postpartum depression helps mothers understand emotional and psychological changes.,sleep disturbances,seek professional counseling,high_risk,postpartum_support,educational_guide
78,Recognizing baby blues,Recognizing baby blues helps mothers understand emotional and psychological changes.,loss of interest,join maternal support groups,low_risk,postpartum_support,educational_guide
79,Mental health awareness for mothers,Mental health awareness for mothers helps mothers understand emotional and psychological changes.,difficulty bonding with baby,seek professional counseling,high_risk,pregnancy_guide,educational_guide
80,Navigating emotional changes after childbirth,Navigating emotional changes after childbirth helps mothers understand emotional and psychological changes.,anxiety and panic,consult healthcare providers,low_risk,mental_health,educational_guide
81,Navigating emotional changes after childbirth,Navigating emotional changes after childbirth helps mothers understand emotional and psychological changes.,loss of interest,seek professional counseling,moderate_risk,postpartum_support,educational_guide
82,Navigating emotional changes after childbirth,Navigating emotional changes after childbirth helps mothers understand emotional and psychological changes.,persistent sadness,talk to family or trusted individuals,moderate_risk,postpartum_support,educational_guide
83,Navigating emotional changes after childbirth,Navigating emotional changes after childbirth helps mothers understand emotional and psychological changes.,extreme fatigue,practice relaxation techniques,low_risk,mental_health,educational_guide
84,Managing anxiety during pregnancy,Managing anxiety during pregnancy helps mothers understand emotional and psychological changes.,extreme fatigue,seek professional counseling,high_risk,mental_health,educational_guide
85,First months of motherhood,First months of motherhood helps mothers understand emotional and psychological changes.,difficulty bonding with baby,seek professional counseling,low_risk,mental_health,educational_guide
86,Building a support system,Building a support system helps mothers understand emotional and psychological changes.,loss of interest,join maternal support groups,high_risk,pregnancy_guide,educational_guide
87,Navigating emotional changes after childbirth,Navigating emotional changes after childbirth helps mothers understand emotional and psychological changes.,loss of interest,seek professional counseling,high_risk,mental_health,educational_guide
88,Mental health awareness for mothers,Mental health awareness for mothers helps mothers understand emotional and psychological changes.,loss of interest,practice relaxation techniques,moderate_risk,pregnancy_guide,educational_guide
89,Postpartum emotional recovery,Postpartum emotional recovery helps mothers understand emotional and psychological changes.,persistent sadness,practice relaxation techniques,high_risk,pregnancy_guide,educational_guide
90,Postpartum emotional recovery,Postpartum emotional recovery helps mothers understand emotional and psychological changes.,difficulty bonding with baby,practice relaxation techniques,moderate_risk,pregnancy_guide,educational_guide
91,Recognizing baby blues,Recognizing baby blues helps mothers understand emotional and psychological changes.,extreme fatigue,join maternal support groups,moderate_risk,pregnancy_guide,educational_guide
92,Mental health awareness for mothers,Mental health awareness for mothers helps mothers understand emotional and psychological changes.,difficulty bonding with baby,join maternal support groups,high_risk,postpartum_support,educational_guide
93,Postpartum emotional recovery,Postpartum emotional recovery helps mothers understand emotional and psychological changes.,sleep disturbances,seek professional counseling,moderate_risk,pregnancy_guide,educational_guide
94,Managing anxiety during pregnancy,Managing anxiety during pregnancy helps mothers understand emotional and psychological changes.,loss of interest,practice relaxation techniques,high_risk,pregnancy_guide,educational_guide
95,Navigating emotional changes after childbirth,Navigating emotional changes after childbirth helps mothers understand emotional and psychological changes.,anxiety and panic,seek professional counseling,low_risk,postpartum_support,educational_guide
96,Building a support system,Building a support system helps mothers understand emotional and psychological changes.,sleep disturbances,talk to family or trusted individuals,high_risk,mental_health,educational_guide
97,Navigating emotional changes after childbirth,Navigating emotional changes after childbirth helps mothers understand emotional and psychological changes.,loss of interest,join maternal support groups,high_risk,postpartum_support,educational_guide
98,Adapting to motherhood,Adapting to motherhood helps mothers understand emotional and psychological changes.,extreme fatigue,practice relaxation techniques,moderate_risk,mental_health,educational_guide
99,Postpartum emotional recovery,Postpartum emotional recovery helps mothers understand emotional and psychological changes.,sleep disturbances,practice relaxation techniques,low_risk,mental_health,educational_guide
100,Recognizing baby blues,Recognizing baby blues helps mothers understand emotional and psychological changes.,sleep disturbances,seek professional counseling,moderate_risk,pregnancy_guide,educational_guide
101,Building a support system,Building a support system helps mothers understand emotional and psychological changes.,loss of interest,seek professional counseling,moderate_risk,pregnancy_guide,educational_guide
102,First months of motherhood,First months of motherhood helps mothers understand emotional and psychological changes.,anxiety and panic,join maternal support groups,moderate_risk,pregnancy_guide,educational_guide
103,First months of motherhood,First months of motherhood helps mothers understand emotional and psychological changes.,extreme fatigue,consult healthcare providers,high_risk,postpartum_support,educational_guide
104,Managing anxiety during pregnancy,Managing anxiety during pregnancy helps mothers understand emotional and psychological changes.,loss of interest,practice relaxation techniques,moderate_risk,pregnancy_guide,educational_guide
105,Navigating emotional changes after childbirth,Navigating emotional changes after childbirth helps mothers understand emotional and psychological changes.,anxiety and panic,practice relaxation techniques,low_risk,pregnancy_guide,educational_guide
106,Managing anxiety during pregnancy,Managing anxiety during pregnancy helps mothers understand emotional and psychological changes.,loss of interest,seek professional counseling,moderate_risk,pregnancy_guide,educational_guide
107,Recognizing baby blues,Recognizing baby blues helps mothers understand emotional and psychological changes.,persistent sadness,consult healthcare providers,low_risk,pregnancy_guide,educational_guide
108,Navigating emotional changes after childbirth,Navigating emotional changes after childbirth helps mothers understand emotional and psychological changes.,anxiety and panic,seek professional counseling,moderate_risk,pregnancy_guide,educational_guide
109,Postpartum emotional recovery,Postpartum emotional recovery helps mothers understand emotional and psychological changes.,persistent sadness,talk to family or trusted individuals,high_risk,mental_health,educational_guide
110,Adapting to motherhood,Adapting to motherhood helps mothers understand emotional and psychological changes.,loss of interest,talk to family or trusted individuals,moderate_risk,pregnancy_guide,educational_guide
111,Understanding postpartum depression,Understanding postpartum depression helps mothers understand emotional and psychological changes.,extreme fatigue,talk to family or trusted individuals,moderate_risk,pregnancy_guide,educational_guide
112,First months of motherhood,First months of motherhood helps mothers understand emotional and psychological changes.,difficulty bonding with baby,seek professional counseling,moderate_risk,pregnancy_guide,educational_guide
113,Adapting to motherhood,Adapting to motherhood helps mothers understand emotional and psychological changes.,loss of interest,join maternal support groups,low_risk,pregnancy_guide,educational_guide
114,First months of motherhood,First months of motherhood helps mothers understand emotional and psychological changes.,difficulty bonding with baby,practice relaxation techniques,moderate_risk,postpartum_support,educational_guide
115,Managing anxiety during pregnancy,Managing anxiety during pregnancy helps mothers understand emotional and psychological changes.,extreme fatigue,seek professional counseling,high_risk,pregnancy_guide,educational_guide
116,Seeking professional support,Seeking professional support helps mothers understand emotional and psychological changes.,difficulty bonding with baby,join maternal support groups,moderate_risk,postpartum_support,educational_guide
117,Managing anxiety during pregnancy,Managing anxiety during pregnancy helps mothers understand emotional and psychological changes.,difficulty bonding with baby,practice relaxation techniques,high_risk,pregnancy_guide,educational_guide
118,Adapting to motherhood,Adapting to motherhood helps mothers understand emotional and psychological changes.,anxiety and panic,consult healthcare providers,low_risk,postpartum_support,educational_guide
119,Understanding postpartum depression,Understanding postpartum depression helps mothers understand emotional and psychological changes.,anxiety and panic,consult healthcare providers,moderate_risk,mental_health,educational_guide
120,Seeking professional support,Seeking professional support helps mothers understand emotional and psychological changes.,persistent sadness,consult healthcare providers,high_risk,pregnancy_guide,educational_guide
121,Mental health awareness for mothers,Mental health awareness for mothers helps mothers understand emotional and psychological changes.,anxiety and panic,consult healthcare providers,low_risk,postpartum_support,educational_guide
122,Adapting to motherhood,Adapting to motherhood helps mothers understand emotional and psychological changes.,extreme fatigue,practice relaxation techniques,moderate_risk,mental_health,educational_guide
123,Recognizing baby blues,Recognizing baby blues helps mothers understand emotional and psychological changes.,anxiety and panic,talk to family or trusted individuals,high_risk,pregnancy_guide,educational_guide
124,Managing anxiety during pregnancy,Managing anxiety during pregnancy helps mothers understand emotional and psychological changes.,extreme fatigue,talk to family or trusted individuals,low_risk,pregnancy_guide,educational_guide
125,Mental health awareness for mothers,Mental health awareness for mothers helps mothers understand emotional and psychological changes.,persistent sadness,seek professional counseling,high_risk,pregnancy_guide,educational_guide
126,Navigating emotional changes after childbirth,Navigating emotional changes after childbirth helps mothers understand emotional and psychological changes.,sleep disturbances,seek professional counseling,moderate_risk,mental_health,educational_guide
127,Managing anxiety during pregnancy,Managing anxiety during pregnancy helps mothers understand emotional and psychological changes.,difficulty bonding with baby,join maternal support groups,high_risk,postpartum_support,educational_guide
128,Understanding postpartum depression,Understanding postpartum depression helps mothers understand emotional and psychological changes.,sleep disturbances,join maternal support groups,low_risk,mental_health,educational_guide
129,Adapting to motherhood,Adapting to motherhood helps mothers understand emotional and psychological changes.,sleep disturbances,practice relaxation techniques,high_risk,mental_health,educational_guide
130,Mental health awareness for mothers,Mental health awareness for mothers helps mothers understand emotional and psychological changes.,difficulty bonding with baby,consult healthcare providers,low_risk,pregnancy_guide,educational_guide
131,Postpartum emotional recovery,Postpartum emotional recovery helps mothers understand emotional and psychological changes.,anxiety and panic,talk to family or trusted individuals,high_risk,postpartum_support,educational_guide
132,Building a support system,Building a support system helps mothers understand emotional and psychological changes.,anxiety and panic,join maternal support groups,high_risk,postpartum_support,educational_guide
133,Adapting to motherhood,Adapting to motherhood helps mothers understand emotional and psychological changes.,loss of interest,practice relaxation techniques,low_risk,mental_health,educational_guide
134,Adapting to motherhood,Adapting to motherhood helps mothers understand emotional and psychological changes.,anxiety and panic,talk to family or trusted individuals,moderate_risk,mental_health,educational_guide
135,Understanding postpartum depression,Understanding postpartum depression helps mothers understand emotional and psychological changes.,loss of interest,practice relaxation techniques,low_risk,pregnancy_guide,educational_guide
136,Postpartum emotional recovery,Postpartum emotional recovery helps mothers understand emotional and psychological changes.,persistent sadness,consult healthcare providers,high_risk,pregnancy_guide,educational_guide
137,Adapting to motherhood,Adapting to motherhood helps mothers understand emotional and psychological changes.,anxiety and panic,join maternal support groups,high_risk,pregnancy_guide,educational_guide
138,Understanding postpartum depression,Understanding postpartum depression helps mothers understand emotional and psychological changes.,loss of interest,consult healthcare providers,high_risk,mental_health,educational_guide
139,Adapting to motherhood,Adapting to motherhood helps mothers understand emotional and psychological changes.,extreme fatigue,practice relaxation techniques,moderate_risk,pregnancy_guide,educational_guide
140,Building a support system,Building a support system helps mothers understand emotional and psychological changes.,sleep disturbances,practice relaxation techniques,high_risk,pregnancy_guide,educational_guide
141,First months of motherhood,First months of motherhood helps mothers understand emotional and psychological changes.,extreme fatigue,seek professional counseling,moderate_risk,postpartum_support,educational_guide
142,Building a support system,Building a support system helps mothers understand emotional and psychological changes.,sleep disturbances,seek professional counseling,high_risk,mental_health,educational_guide
143,Managing anxiety during pregnancy,Managing anxiety during pregnancy helps mothers understand emotional and psychological changes.,anxiety and panic,consult healthcare providers,moderate_risk,mental_health,educational_guide
144,First months of motherhood,First months of motherhood helps mothers understand emotional and psychological changes.,difficulty bonding with baby,seek professional counseling,high_risk,postpartum_support,educational_guide
145,Postpartum emotional recovery,Postpartum emotional recovery helps mothers understand emotional and psychological changes.,loss of interest,talk to family or trusted individuals,high_risk,pregnancy_guide,educational_guide
146,Recognizing baby blues,Recognizing baby blues helps mothers understand emotional and psychological changes.,persistent sadness,join maternal support groups,high_risk,postpartum_support,educational_guide
147,Recognizing baby blues,Recognizing baby blues helps mothers understand emotional and psychological changes.,anxiety and panic,talk to family or trusted individuals,moderate_risk,postpartum_support,educational_guide
148,Adapting to motherhood,Adapting to motherhood helps mothers understand emotional and psychological changes.,persistent sadness,practice relaxation techniques,high_risk,pregnancy_guide,educational_guide
149,Recognizing baby blues,Recognizing baby blues helps mothers understand emotional and psychological changes.,sleep disturbances,practice relaxation techniques,moderate_risk,pregnancy_guide,educational_guide
150,Postpartum emotional recovery,Postpartum emotional recovery helps mothers understand emotional and psychological changes.,loss of interest,consult healthcare providers,high_risk,mental_health,educational_guide
151,Understanding postpartum depression,Understanding postpartum depression helps mothers understand emotional and psychological changes.,anxiety and panic,seek professional counseling,low_risk,postpartum_support,educational_guide
152,Navigating emotional changes after childbirth,Navigating emotional changes after childbirth helps mothers understand emotional and psychological changes.,anxiety and panic,consult healthcare providers,high_risk,mental_health,educational_guide
153,Recognizing baby blues,Recognizing baby blues helps mothers understand emotional and psychological changes.,sleep disturbances,talk to family or trusted individuals,low_risk,mental_health,educational_guide
154,Seeking professional support,Seeking professional support helps mothers understand emotional and psychological changes.,sleep disturbances,join maternal support groups,low_risk,postpartum_support,educational_guide
155,Understanding postpartum depression,Understanding postpartum depression helps mothers understand emotional and psychological changes.,sleep disturbances,consult healthcare providers,low_risk,postpartum_support,educational_guide
156,Navigating emotional changes after childbirth,Navigating emotional changes after childbirth helps mothers understand emotional and psychological changes.,anxiety and panic,practice relaxation techniques,moderate_risk,pregnancy_guide,educational_guide
157,Building a support system,Building a support system helps mothers understand emotional and psychological changes.,sleep disturbances,practice relaxation techniques,high_risk,postpartum_support,educational_guide
158,Navigating emotional changes after childbirth,Navigating emotional changes after childbirth helps mothers understand emotional and psychological changes.,sleep disturbances,practice relaxation techniques,high_risk,pregnancy_guide,educational_guide
159,First months of motherhood,First months of motherhood helps mothers understand emotional and psychological changes.,anxiety and panic,consult healthcare providers,high_risk,mental_health,educational_guide
160,Navigating emotional changes after childbirth,Navigating emotional changes after childbirth helps mothers understand emotional and psychological changes.,sleep disturbances,join maternal support groups,low_risk,mental_health,educational_guide
161,Managing anxiety during pregnancy,Managing anxiety during pregnancy helps mothers understand emotional and psychological changes.,difficulty bonding with baby,practice relaxation techniques,moderate_risk,pregnancy_guide,educational_guide
162,Understanding postpartum depression,Understanding postpartum depression helps mothers understand emotional and psychological changes.,anxiety and panic,seek professional counseling,high_risk,postpartum_support,educational_guide
163,Recognizing baby blues,Recognizing baby blues helps mothers understand emotional and psychological changes.,persistent sadness,practice relaxation techniques,low_risk,pregnancy_guide,educational_guide
164,Managing anxiety during pregnancy,Managing anxiety during pregnancy helps mothers understand emotional and psychological changes.,persistent sadness,talk to family or trusted individuals,low_risk,pregnancy_guide,educational_guide
165,Understanding postpartum depression,Understanding postpartum depression helps mothers understand emotional and psychological changes.,persistent sadness,talk to family or trusted individuals,moderate_risk,postpartum_support,educational_guide
166,Mental health awareness for mothers,Mental health awareness for mothers helps mothers understand emotional and psychological changes.,anxiety and panic,join maternal support groups,high_risk,mental_health,educational_guide
167,Postpartum emotional recovery,Postpartum emotional recovery helps mothers understand emotional and psychological changes.,sleep disturbances,practice relaxation techniques,low_risk,postpartum_support,educational_guide
168,First months of motherhood,First months of motherhood helps mothers understand emotional and psychological changes.,anxiety and panic,seek professional counseling,low_risk,mental_health,educational_guide
169,Mental health awareness for mothers,Mental health awareness for mothers helps mothers understand emotional and psychological changes.,extreme fatigue,consult healthcare providers,high_risk,mental_health,educational_guide
170,Mental health awareness for mothers,Mental health awareness for mothers helps mothers understand emotional and psychological changes.,anxiety and panic,practice relaxation techniques,low_risk,pregnancy_guide,educational_guide
171,Seeking professional support,Seeking professional support helps mothers understand emotional and psychological changes.,loss of interest,seek professional counseling,low_risk,postpartum_support,educational_guide
172,Recognizing baby blues,Recognizing baby blues helps mothers understand emotional and psychological changes.,sleep disturbances,practice relaxation techniques,moderate_risk,mental_health,educational_guide
173,Mental health awareness for mothers,Mental health awareness for mothers helps mothers understand emotional and psychological changes.,loss of interest,seek professional counseling,low_risk,pregnancy_guide,educational_guide
174,Seeking professional support,Seeking professional support helps mothers understand emotional and psychological changes.,persistent sadness,join maternal support groups,high_risk,pregnancy_guide,educational_guide
175,Navigating emotional changes after childbirth,Navigating emotional changes after childbirth helps mothers understand emotional and psychological changes.,extreme fatigue,seek professional counseling,low_risk,pregnancy_guide,educational_guide
176,Navigating emotional changes after childbirth,Navigating emotional changes after childbirth helps mothers understand emotional and psychological changes.,difficulty bonding with baby,practice relaxation techniques,high_risk,postpartum_support,educational_guide
177,First months of motherhood,First months of motherhood helps mothers understand emotional and psychological changes.,sleep disturbances,consult healthcare providers,moderate_risk,postpartum_support,educational_guide
178,Navigating emotional changes after childbirth,Navigating emotional changes after childbirth helps mothers understand emotional and psychological changes.,anxiety and panic,join maternal support groups,low_risk,postpartum_support,educational_guide
179,Navigating emotional changes after childbirth,Navigating emotional changes after childbirth helps mothers understand emotional and psychological changes.,sleep disturbances,practice relaxation techniques,moderate_risk,postpartum_support,educational_guide
180,Building a support system,Building a support system helps mothers understand emotional and psychological changes.,difficulty bonding with baby,seek professional counseling,moderate_risk,mental_health,educational_guide
181,Seeking professional support,Seeking professional support helps mothers understand emotional and psychological changes.,anxiety and panic,join maternal support groups,low_risk,postpartum_support,educational_guide
